Grant.Application.ID,Sponsor.Code,Grant.Category.Code,Contract.Value.Band...see.note.A,RFCD.Code.1,RFCD.Percentage.1,SEO.Code.1,SEO.Percentage.1,Person.ID.1,Role.1,Year.of.Birth.1,Number.of.Successful.Grant.1,Number.of.Unsuccessful.Grant.1,Start.Year,Grant.Status
30,2B,10A,B ,350201.0,-0.5823858675342879,720403.0,-0.45585391716814977,3067.0,CHIEF_INVESTIGATOR,-1.340851260619737,-0.8034048759892362,-0.7569548971578205,2005,1
31,143C,30B,A ,400303.0,0.1916167851791236,750802.0,0.3205071817975419,39817.0,CHIEF_INVESTIGATOR,-0.7981292358120862,-0.8034048759892362,-0.4020219645419708,2005,0
32,60D,30D,H ,320702.0,0.9656194378925351,730104.0,1.0968682807632335,69032.0,DELEGATED_RESEARCHER,0.2873148138032152,-0.13160591992748422,-0.04708903192612112,2005,0
33,4D,10A,A ,320702.0,-2.130391172961111,670502.0,-1.8144858403581101,69262.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.13160591992748422,-0.7569548971578205,2005,1
34,24D,30B,A ,330107.0,0.9656194378925351,740201.0,-1.2322150161338414,4247.0,CHIEF_INVESTIGATOR,-1.340851260619737,-0.8034048759892362,-0.4020219645419708,2005,0
35,2B,10A,A ,260109.0,-0.9693871938909937,780104.0,-0.45585391716814977,5287.0,CHIEF_INVESTIGATOR,-0.2554072110044355,0.5401930361342677,-0.4020219645419708,2005,1
36,148D,30B,A ,270104.0,0.9656194378925351,730105.0,1.0968682807632335,66887.0,CHIEF_INVESTIGATOR,-0.7981292358120862,-0.8034048759892362,-0.04708903192612112,2005,0
37,4D,10A,A ,270201.0,0.9656194378925351,630104.0,1.0968682807632335,70662.0,CHIEF_INVESTIGATOR,0.8300368386108659,-0.13160591992748422,-0.4020219645419708,2005,0
38,90B,30G,A ,321004.0,0.9656194378925351,730105.0,1.0968682807632335,69812.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.13160591992748422,1.0177097659214278,2005,0
39,2B,10A,G ,300105.0,-0.9693871938909937,770802.0,-0.8440344666509956,35382.0,CHIEF_INVESTIGATOR,0.8300368386108659,-0.8034048759892362,-0.4020219645419708,2005,0
40,4D,10A,B ,321028.0,-0.9693871938909937,730114.0,1.0968682807632335,149767.0,CHIEF_INVESTIGATOR,1.3727588634185166,-0.13160591992748422,-0.04708903192612112,2005,0
41,18B,20C,A ,321216.0,-0.9693871938909937,730201.0,-0.8440344666509956,63562.0,CHIEF_INVESTIGATOR,-2.426295310235038,-0.13160591992748422,-0.4020219645419708,2005,0
42,4D,10A,A ,320702.0,-1.3563885202476995,730000.0,-1.2322150161338414,71867.0,CHIEF_INVESTIGATOR,-1.8835732854273874,1.2119919921960196,-0.4020219645419708,2005,0
43,29A,10B,A ,321004.0,-1.3563885202476995,730105.0,-1.2322150161338414,142457.0,CHIEF_INVESTIGATOR,0.8300368386108659,-0.13160591992748422,-0.4020219645419708,2005,1
44,136D,30B,A ,321004.0,0.9656194378925351,730105.0,1.0968682807632335,74162.0,CHIEF_INVESTIGATOR,0.8300368386108659,-0.13160591992748422,-0.7569548971578205,2005,1
45,89A,30B,A ,320602.0,0.9656194378925351,730107.0,-0.8440344666509956,67647.0,CHIEF_INVESTIGATOR,0.2873148138032152,-0.13160591992748422,1.3726426985372775,2005,0
46,4D,10A,A ,420303.0,-0.9693871938909937,730201.0,-1.2322150161338414,63492.0,CHIEF_INVESTIGATOR,-1.8835732854273874,-0.8034048759892362,-0.4020219645419708,2005,0
47,2B,10A,E ,260602.0,-0.5823858675342879,770103.0,-0.8440344666509956,26877.0,CHIEF_INVESTIGATOR,-2.9690173350426887,-0.8034048759892362,-0.7569548971578205,2005,1
48,40D,10B,A ,321003.0,0.9656194378925351,730106.0,1.0968682807632335,69812.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.13160591992748422,1.0177097659214278,2005,0
49,34B,30C,A ,321402.0,0.9656194378925351,730217.0,1.0968682807632335,491312.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.8034048759892362,0.30784390068972856,2005,0
50,2B,10A,A ,300508.0,-0.9693871938909937,780105.0,1.0968682807632335,66672.0,CHIEF_INVESTIGATOR,-0.2554072110044355,0.5401930361342677,-0.7569548971578205,2005,1
51,21A,50A,A ,300403.0,-0.5823858675342879,630106.0,0.7086877312803878,70662.0,CHIEF_INVESTIGATOR,0.8300368386108659,-0.13160591992748422,-0.4020219645419708,2005,1
52,47C,10B,A ,270402.0,0.9656194378925351,771102.0,1.0968682807632335,30977.0,CHIEF_INVESTIGATOR,-1.340851260619737,-0.13160591992748422,-0.7569548971578205,2005,1
53,4D,20C,A ,380107.0,-0.38888520435593504,730106.0,-1.8144858403581101,30457.0,CHIEF_INVESTIGATOR,-0.7981292358120862,-0.8034048759892362,-0.7569548971578205,2005,0
54,36D,10A,A ,270403.0,-0.9693871938909937,620105.0,1.0968682807632335,79802.0,PRINCIPAL_SUPERVISOR,-1.340851260619737,-0.13160591992748422,-0.7569548971578205,2005,1
55,4D,10A,A ,321015.0,0.9656194378925351,730108.0,1.0968682807632335,10577.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.8034048759892362,-0.4020219645419708,2005,1
56,34B,30C,A ,270708.0,0.9656194378925351,770603.0,1.0968682807632335,85642.0,CHIEF_INVESTIGATOR,-0.7981292358120862,-0.13160591992748422,1.0177097659214278,2005,1
57,4D,20C,A ,320700.0,-0.9693871938909937,730199.0,-0.8440344666509956,1797.0,EXT_CHIEF_INVESTIGATOR,0.028847845185322477,0.10333584039084412,0.08069518255406263,2005,0
58,4D,10A,D ,320702.0,0.021403068362822138,730108.0,-0.029611097496970693,1797.0,EXT_CHIEF_INVESTIGATOR,0.028847845185322477,0.10333584039084412,0.08069518255406263,2005,0
59,18B,20A,A ,330103.0,0.9656194378925351,749905.0,1.0968682807632335,82377.0,CHIEF_INVESTIGATOR,-1.340851260619737,-0.8034048759892362,-0.7569548971578205,2005,0
60,32D,30B,A ,321015.0,0.9656194378925351,730108.0,-0.029611097496970693,1797.0,EXT_CHIEF_INVESTIGATOR,0.028847845185322477,0.10333584039084412,0.08069518255406263,2005,0
61,172D,30B,A ,270106.0,-1.743389846604405,730108.0,0.3205071817975419,46237.0,CHIEF_INVESTIGATOR,-1.8835732854273874,-0.8034048759892362,-0.7569548971578205,2005,0
62,4D,10A,A ,210000.0,-0.9693871938909937,730211.0,-1.6203955656166873,1797.0,EXT_CHIEF_INVESTIGATOR,0.028847845185322477,0.10333584039084412,0.08069518255406263,2005,0
63,21A,50A,A ,270105.0,-1.6272894486973934,630101.0,-0.8440344666509956,9227.0,CHIEF_INVESTIGATOR,0.8300368386108659,-0.8034048759892362,0.30784390068972856,2005,0
64,4D,10A,C ,270108.0,-0.19538454117758217,730108.0,1.0968682807632335,16137.0,CHIEF_INVESTIGATOR,-1.340851260619737,-0.13160591992748422,1.0177097659214278,2005,0
65,184D,30B,A ,320702.0,0.021403068362822138,730108.0,-0.029611097496970693,69147.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.8034048759892362,-0.4020219645419708,2005,0
66,2B,10A,A ,240204.0,-1.3563885202476995,671299.0,-1.6203955656166873,15187.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.8034048759892362,-0.4020219645419708,2005,0
67,5A,30B,A ,320702.0,0.021403068362822138,730108.0,-0.029611097496970693,43882.0,CHIEF_INVESTIGATOR,1.3727588634185166,-0.8034048759892362,1.0177097659214278,2005,0
68,63C,20A,B ,321206.0,0.9656194378925351,730213.0,1.0968682807632335,30017.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.8034048759892362,-0.7569548971578205,2005,1
69,2B,10A,H ,320405.0,0.1916167851791236,730101.0,0.3205071817975419,1217.0,CHIEF_INVESTIGATOR,-0.2554072110044355,0.5401930361342677,-0.7569548971578205,2005,1
70,47C,10B,A ,250200.0,0.9656194378925351,780103.0,1.0968682807632335,489582.0,CHIEF_INVESTIGATOR,1.3727588634185166,-0.8034048759892362,-0.4020219645419708,2005,0
71,74B,30C,A ,321202.0,-0.9693871938909937,730213.0,-0.8440344666509956,76352.0,CHIEF_INVESTIGATOR,0.2873148138032152,-0.13160591992748422,-0.7569548971578205,2005,1
72,4D,10A,B ,360299.0,-0.5823858675342879,750699.0,-0.45585391716814977,81067.0,CHIEF_INVESTIGATOR,-2.426295310235038,-0.13160591992748422,-0.4020219645419708,2005,0
73,29A,10B,A ,321004.0,-0.9693871938909937,730105.0,1.0968682807632335,74162.0,CHIEF_INVESTIGATOR,0.8300368386108659,-0.13160591992748422,-0.7569548971578205,2005,1
74,6B,30B,A ,320502.0,0.9656194378925351,730106.0,1.0968682807632335,66657.0,PRINCIPAL_SUPERVISOR,0.2873148138032152,-0.8034048759892362,-0.7569548971578205,2005,0
75,170B,30B,A ,300105.0,-0.9693871938909937,770502.0,1.0968682807632335,66902.0,CHIEF_INVESTIGATOR,-1.8835732854273874,-0.13160591992748422,-0.7569548971578205,2005,1
76,4D,10A,A ,270103.0,-0.19538454117758217,730108.0,1.0968682807632335,79057.0,CHIEF_INVESTIGATOR,-0.7981292358120862,-0.13160591992748422,-0.7569548971578205,2005,1
77,40D,30B,A ,321216.0,-0.9693871938909937,730207.0,-0.45585391716814977,22972.0,CHIEF_INVESTIGATOR,0.2873148138032152,-0.8034048759892362,-0.4020219645419708,2005,0
78,24D,30B,A ,321021.0,0.9656194378925351,730211.0,1.0968682807632335,4222.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.8034048759892362,-0.04708903192612112,2005,0
79,40D,30B,A ,321004.0,0.9656194378925351,730204.0,1.0968682807632335,1797.0,CHIEF_INVESTIGATOR,-0.2554072110044355,0.5401930361342677,1.7275756311531272,2005,0
80,166B,10A,A ,279901.0,0.9656194378925351,770101.0,1.0968682807632335,85642.0,CHIEF_INVESTIGATOR,-0.7981292358120862,-0.13160591992748422,1.0177097659214278,2005,0
81,29A,10B,A ,321004.0,-0.5823858675342879,730105.0,-0.45585391716814977,5967.0,CHIEF_INVESTIGATOR,-0.7981292358120862,-0.8034048759892362,-0.4020219645419708,2005,1
82,4D,10A,A ,321015.0,-1.3563885202476995,730108.0,-1.2322150161338414,76352.0,CHIEF_INVESTIGATOR,0.2873148138032152,-0.13160591992748422,-0.7569548971578205,2005,1
83,21A,50A,A ,320305.0,-0.9693871938909937,730101.0,0.12641690705611897,74302.0,CHIEF_INVESTIGATOR,-0.2554072110044355,0.5401930361342677,-0.4020219645419708,2005,1
84,4D,10A,A ,321208.0,-1.1628878570693466,730211.0,-1.0381247413924184,131257.0,CHIEF_INVESTIGATOR,1.9154808882261671,-0.8034048759892362,-0.4020219645419708,2005,0
85,12D,30B,D ,290104.0,-1.3563885202476995,670105.0,-0.45585391716814977,56387.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.13160591992748422,-0.4020219645419708,2005,0
86,101A,30G,A ,321021.0,-2.130391172961111,750101.0,-1.2322150161338414,39632.0,CHIEF_INVESTIGATOR,1.3727588634185166,-0.8034048759892362,-0.04708903192612112,2005,0
87,33A,20C,D ,300204.0,0.9656194378925351,750704.0,-0.06767336768530394,85642.0,CHIEF_INVESTIGATOR,-0.7981292358120862,-0.13160591992748422,1.0177097659214278,2005,0
88,2B,10A,A ,270804.0,-1.3563885202476995,780105.0,-0.45585391716814977,8012.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.13160591992748422,-0.4020219645419708,2005,0
89,24D,30B,A ,321006.0,-0.5823858675342879,730113.0,-0.45585391716814977,71867.0,CHIEF_INVESTIGATOR,-1.8835732854273874,1.2119919921960196,-0.4020219645419708,2005,0
90,4D,10A,A ,320702.0,0.021403068362822138,730108.0,-0.029611097496970693,1797.0,CHIEF_INVESTIGATOR,0.028847845185322477,0.10333584039084412,0.08069518255406263,2005,0
91,164D,10B,A ,320202.0,-0.5823858675342879,730102.0,1.0968682807632335,12957.0,CHIEF_INVESTIGATOR,0.2873148138032152,-0.13160591992748422,1.3726426985372775,2005,0
92,143C,30B,A ,321204.0,-2.517392499317817,730207.0,-1.8144858403581101,8772.0,CHIEF_INVESTIGATOR,0.2873148138032152,1.2119919921960196,-0.04708903192612112,2005,0
93,2B,10A,A ,290801.0,-0.5823858675342879,680202.0,-0.8440344666509956,73017.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.8034048759892362,-0.04708903192612112,2005,0
94,170B,30B,G ,291104.0,-1.3563885202476995,770502.0,1.0968682807632335,125287.0,CHIEF_INVESTIGATOR,-1.8835732854273874,-0.8034048759892362,-0.04708903192612112,2005,0
95,4D,10A,A ,270199.0,0.9656194378925351,730108.0,1.0968682807632335,497907.0,CHIEF_INVESTIGATOR,0.8300368386108659,-0.8034048759892362,-0.7569548971578205,2005,1
96,4D,10A,F ,320302.0,0.9656194378925351,730101.0,-0.8440344666509956,1687.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.13160591992748422,-0.7569548971578205,2005,1
97,4D,10A,A ,230204.0,-0.9693871938909937,730201.0,1.0968682807632335,1797.0,CHIEF_INVESTIGATOR,0.028847845185322477,0.10333584039084412,0.08069518255406263,2005,0
98,40D,10B,A ,270699.0,-0.9693871938909937,730217.0,1.0968682807632335,132232.0,CHIEF_INVESTIGATOR,1.3727588634185166,-0.13160591992748422,-0.7569548971578205,2005,0
99,2B,10A,F ,360101.0,-0.5823858675342879,750602.0,-0.45585391716814977,28682.0,CHIEF_INVESTIGATOR,1.3727588634185166,-0.13160591992748422,-0.7569548971578205,2005,1
100,4D,10A,A ,380103.0,-1.5498891834260524,780107.0,-0.8440344666509956,67622.0,CHIEF_INVESTIGATOR,-1.8835732854273874,-0.8034048759892362,-0.4020219645419708,2005,0
101,59C,10A,A ,280100.0,-1.3563885202476995,700103.0,1.0968682807632335,115417.0,CHIEF_INVESTIGATOR,0.2873148138032152,-0.8034048759892362,-0.4020219645419708,2005,0
102,4D,10A,A ,321005.0,0.9656194378925351,730116.0,1.0968682807632335,19362.0,CHIEF_INVESTIGATOR,-0.7981292358120862,-0.8034048759892362,-0.4020219645419708,2005,0
103,2B,10A,A ,390301.0,-0.9693871938909937,750503.0,0.3205071817975419,73737.0,CHIEF_INVESTIGATOR,-1.340851260619737,-0.8034048759892362,-0.7569548971578205,2005,1
104,75C,10B,A ,320899.0,0.9656194378925351,730214.0,1.0968682807632335,1797.0,EXT_CHIEF_INVESTIGATOR,0.028847845185322477,0.10333584039084412,0.08069518255406263,2005,0
105,2B,10A,E ,350301.0,-0.9693871938909937,710401.0,1.0968682807632335,69952.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.8034048759892362,-0.7569548971578205,2005,1
106,161A,30B,A ,321006.0,0.9656194378925351,730108.0,1.0968682807632335,1797.0,EXT_CHIEF_INVESTIGATOR,0.028847845185322477,0.10333584039084412,0.08069518255406263,2005,0
107,40D,30B,B ,320503.0,0.9656194378925351,730199.0,1.0968682807632335,74932.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.8034048759892362,-0.7569548971578205,2005,1
108,157A,30B,A ,300399.0,0.9656194378925351,770503.0,1.0968682807632335,26857.0,CHIEF_INVESTIGATOR,0.2873148138032152,-0.8034048759892362,-0.4020219645419708,2005,0
109,62B,10B,A ,320702.0,0.9656194378925351,730104.0,0.3205071817975419,79427.0,PRINCIPAL_SUPERVISOR,-0.2554072110044355,-0.8034048759892362,-0.4020219645419708,2005,0
110,4D,10A,A ,270106.0,0.9656194378925351,730108.0,1.0968682807632335,730092.0,CHIEF_INVESTIGATOR,1.3727588634185166,-0.13160591992748422,-0.7569548971578205,2005,1
111,21A,50A,A ,290102.0,-0.9693871938909937,670105.0,-0.8440344666509956,7947.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.8034048759892362,-0.7569548971578205,2005,1
112,4D,10A,A ,270103.0,-1.936890509782758,730108.0,1.0968682807632335,38697.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.8034048759892362,-0.4020219645419708,2005,0
113,40D,10B,A ,321003.0,-0.9693871938909937,730105.0,-0.8440344666509956,1797.0,STUD_CHIEF_INVESTIGATOR,0.028847845185322477,0.10333584039084412,0.08069518255406263,2005,0
114,143C,30B,A ,270208.0,0.9656194378925351,780105.0,1.0968682807632335,34737.0,CHIEF_INVESTIGATOR,0.8300368386108659,-0.13160591992748422,1.0177097659214278,2005,0
115,4D,10A,A ,321015.0,0.1916167851791236,730108.0,1.0968682807632335,27757.0,CHIEF_INVESTIGATOR,-0.2554072110044355,0.5401930361342677,-0.7569548971578205,2005,1
116,2B,10A,A ,340207.0,-0.5823858675342879,720299.0,1.0968682807632335,712.0,CHIEF_INVESTIGATOR,0.8300368386108659,-0.8034048759892362,-0.7569548971578205,2005,1
117,4D,10A,A ,321202.0,-0.9693871938909937,730299.0,-1.2322150161338414,726602.0,CHIEF_INVESTIGATOR,0.8300368386108659,-0.13160591992748422,-0.7569548971578205,2005,1
118,9A,10A,A ,260107.0,0.9656194378925351,780104.0,1.0968682807632335,80187.0,CHIEF_INVESTIGATOR,-1.8835732854273874,-0.8034048759892362,-0.4020219645419708,2005,0
119,4D,10A,A ,321004.0,-0.9693871938909937,730114.0,-0.8440344666509956,84627.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.8034048759892362,-0.4020219645419708,2005,0
120,24D,30B,A ,320702.0,0.9656194378925351,780105.0,1.0968682807632335,73882.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.13160591992748422,-0.4020219645419708,2005,0
121,4D,10A,A ,270106.0,0.1916167851791236,730105.0,1.0968682807632335,118747.0,CHIEF_INVESTIGATOR,1.9154808882261671,-0.8034048759892362,-0.04708903192612112,2005,0
122,126B,10A,B ,270504.0,0.9656194378925351,620204.0,1.0968682807632335,85642.0,CHIEF_INVESTIGATOR,-0.7981292358120862,-0.13160591992748422,1.0177097659214278,2005,1
123,4D,10A,G ,320403.0,0.9656194378925351,730101.0,-0.8440344666509956,69262.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.13160591992748422,-0.7569548971578205,2005,1
124,4D,10A,A ,270199.0,0.9656194378925351,780105.0,-0.8440344666509956,80377.0,CHIEF_INVESTIGATOR,-1.8835732854273874,1.2119919921960196,-0.4020219645419708,2005,1
125,149A,30B,A ,321208.0,0.9656194378925351,730219.0,1.0968682807632335,18377.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.13160591992748422,-0.7569548971578205,2005,1
126,4D,10A,A ,321015.0,0.9656194378925351,730108.0,1.0968682807632335,148087.0,CHIEF_INVESTIGATOR,-1.340851260619737,-0.8034048759892362,-0.04708903192612112,2005,0
127,4D,10A,A ,320702.0,0.021403068362822138,730108.0,-0.029611097496970693,48892.0,CHIEF_INVESTIGATOR,1.9154808882261671,-0.8034048759892362,-0.4020219645419708,2005,0
128,2B,10A,F ,320705.0,-1.3563885202476995,730111.0,-0.8440344666509956,67282.0,CHIEF_INVESTIGATOR,0.2873148138032152,-0.8034048759892362,-0.04708903192612112,2005,1
129,4D,10A,F ,320405.0,-0.19538454117758217,730101.0,-1.2322150161338414,77112.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.13160591992748422,-0.4020219645419708,2005,0
130,89A,30B,A ,320207.0,0.9656194378925351,730102.0,1.0968682807632335,12957.0,CHIEF_INVESTIGATOR,0.2873148138032152,-0.13160591992748422,1.3726426985372775,2005,0
131,24D,30B,A ,310101.0,0.9656194378925351,680299.0,1.0968682807632335,22792.0,CHIEF_INVESTIGATOR,-0.7981292358120862,-0.8034048759892362,-0.04708903192612112,2005,0
132,2B,10A,H ,260602.0,-0.5823858675342879,770101.0,-0.45585391716814977,612.0,DELEGATED_RESEARCHER,-0.2554072110044355,-0.8034048759892362,-0.4020219645419708,2005,1
133,53A,30B,A ,320202.0,0.9656194378925351,780105.0,1.0968682807632335,12957.0,CHIEF_INVESTIGATOR,0.2873148138032152,-0.13160591992748422,1.3726426985372775,2005,1
134,40D,10B,A ,320701.0,0.9656194378925351,730106.0,-0.8440344666509956,78752.0,CHIEF_INVESTIGATOR,-0.7981292358120862,-0.13160591992748422,-0.4020219645419708,2005,0
135,4D,10A,K ,310103.0,-0.5823858675342879,690499.0,-0.45585391716814977,81067.0,CHIEF_INVESTIGATOR,-2.426295310235038,-0.13160591992748422,-0.4020219645419708,2005,1
136,4D,10A,A ,321015.0,0.9656194378925351,730108.0,1.0968682807632335,148087.0,CHIEF_INVESTIGATOR,-1.340851260619737,-0.8034048759892362,-0.04708903192612112,2005,0
137,4D,20C,A ,380103.0,-1.1628878570693466,730213.0,-0.45585391716814977,26107.0,CHIEF_INVESTIGATOR,0.8300368386108659,-0.13160591992748422,-0.4020219645419708,2005,0
138,4D,10A,A ,290801.0,0.9656194378925351,680503.0,1.0968682807632335,73017.0,CHIEF_INVESTIGATOR,-0.2554072110044355,-0.8034048759892362,-0.04708903192612112,2005,0
139,47C,10B,A ,250200.0,0.9656194378925351,780103.0,1.0968682807632335,492057.0,CHIEF_INVESTIGATOR,0.2873148138032152,-0.13160591992748422,-0.04708903192612112,2005,1
140,4D,10A,F ,320701.0,0.9656194378925351,730104.0,-0.8440344666509956,80502.0,CHIEF_INVESTIGATOR,-1.340851260619737,-0.8034048759892362,-0.7569548971578205,2005,1
141,34B,30C,A ,320702.0,0.021403068362822138,730108.0,-0.029611097496970693,68817.0,CHIEF_INVESTIGATOR,-0.7981292358120862,-0.8034048759892362,-0.04708903192612112,2005,0
142,2B,10A,A ,270199.0,-1.3563885202476995,780105.0,-1.6203955656166873,68512.0,CHIEF_INVESTIGATOR,-1.8835732854273874,-0.8034048759892362,-0.7569548971578205,2005,0
143,136D,10A,A ,270603.0,-2.130391172961111,730106.0,-1.6203955656166873,1797.0,EXT_CHIEF_INVESTIGATOR,0.028847845185322477,0.10333584039084412,0.08069518255406263,2005,0
